name,type,address,latitude,longitude,source
THE THEVA RESIDENCY,Boutique Hotels,"Hantana, Kandy",7.276036,80.635411,Sri Lanka Open Data Portal - Accommodation Information for Tourists
HIGHLAND VILLA,Boutique Hotels,"Weligama, Matara",5.960334,80.409972,Sri Lanka Open Data Portal - Accommodation Information for Tourists
ULAGALLA WALAWWA RESORT,Boutique Hotels,"Thirappane, Anuradhapura",8.205927,80.545063,Sri Lanka Open Data Portal - Accommodation Information for Tourists
GALLE FORT HOTEL,Boutique Hotels,"Church Street, Galle Fort",6.026649,80.217563,Sri Lanka Open Data Portal - Accommodation Information for Tourists
THE ELEPHANT CORRIDOR,Boutique Hotels,"Pothana, Kibissa, Sigiriya",7.943525,80.710743,Sri Lanka Open Data Portal - Accommodation Information for Tourists
AMANWELLA,Boutique Hotels,Tangalle,6.006174,80.777376,Sri Lanka Open Data Portal - Accommodation Information for Tourists
ADITYA,Boutique Hotels,"Rathgama, Galle",6.094732,80.134978,Sri Lanka Open Data Portal - Accommodation Information for Tourists
BUCKINGAM PLACE,Boutique Hotels,"Rekawa, Tangalle",6.047336,80.855462,Sri Lanka Open Data Portal - Accommodation Information for Tourists
CLUB VILLA,Boutique Hotels,Bentota,6.414093,79.999034,Sri Lanka Open Data Portal - Accommodation Information for Tourists
SAMAN VILLAS,Boutique Hotels,"Induruwa, Bentota",6.395518,80.004447,Sri Lanka Open Data Portal - Accommodation Information for Tourists
MANDARA RESORT,Boutique Hotels,"Pelena, Mirissa / Weligama",5.964016,80.453836,Sri Lanka Open Data Portal - Accommodation Information for Tourists
VIL UYANA,Boutique Hotels,Sigiriya,7.929710,80.720275,Sri Lanka Open Data Portal - Accommodation Information for Tourists
TAMARIND HILL HOTEL,Boutique Hotels,"Dadella, Galle",6.044845,80.197360,Sri Lanka Open Data Portal - Accommodation Information for Tourists
PARADISE ROAD TINTAGEL COLOMBO,Boutique Hotels,Colombo 07,6.915033,79.869959,Sri Lanka Open Data Portal - Accommodation Information for Tourists
BROOK BOUTIQUE,Boutique Hotels,"Melsiripura, Kurunegala",7.726939,80.512511,Sri Lanka Open Data Portal - Accommodation Information for Tourists
THE FORTRESS,Boutique Hotels,"Koggala, Galle",5.986535,80.326424,Sri Lanka Open Data Portal - Accommodation Information for Tourists
CASA COLOMBO,Boutique Hotels,Colombo 03,6.888839,79.857693,Sri Lanka Open Data Portal - Accommodation Information for Tourists
AMANGALLE,Boutique Hotels,Galle Fort,6.028977,80.216995,Sri Lanka Open Data Portal - Accommodation Information for Tourists
MAALU MAALU RESORTS & SPA,Boutique Hotels,"Passikudah, Batticaloa",7.928390,81.561268,Sri Lanka Open Data Portal - Accommodation Information for Tourists
THE WALAWWA,Boutique Hotels,"Kotugoda, Gampaha",7.131981,79.927908,Sri Lanka Open Data Portal - Accommodation Information for Tourists
BOULDER GARDEN,Boutique Hotels,"Kalawana, Ratnapura",6.514558,80.385872,Sri Lanka Open Data Portal - Accommodation Information for Tourists
JIMS FARM VILLA,Boutique Hotels,"Pallepola, Matale",7.621357,80.619922,Sri Lanka Open Data Portal - Accommodation Information for Tourists
LANGDALE RESORT & SPA,Boutique Hotels,"Nanu Oya, Nuwara Eliya",6.929208,80.718066,Sri Lanka Open Data Portal - Accommodation Information for Tourists
