sourceReference	region	type	vehicleModel	serviceName	capacity	minimumFareLkr	perKmLkr	perPassenger	source	availabilityBasis
node/4122622298	Nuwara Eliya	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/4122622298	Nuwara Eliya	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/4122622298	Nuwara Eliya	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/4122622298	Nuwara Eliya	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/4122622298	Nuwara Eliya	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/4122622298	Nuwara Eliya	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/13568837501	Ella	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/13568837501	Ella	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/13568837501	Ella	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/13568837501	Ella	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/13568837501	Ella	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/13568837501	Ella	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/10287682610	Anuradhapura	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/10287682610	Anuradhapura	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287682610	Anuradhapura	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287682610	Anuradhapura	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287682610	Anuradhapura	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287682610	Anuradhapura	Train	Train	Northern Line service where scheduled	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/10287682609	Anuradhapura	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
