record_id,region,region_cost_index,budget_level,accommodation_type,travellers,rooms,nightly_price_lkr,data_origin
1,Cultural Triangle / North Central,1.05,LOW,Hostel / dorm,15,8,2754.18,reference-derived scenario
2,Southern Province,1.2,LOW,Budget hotel / 1-2 star,3,2,11234.86,reference-derived scenario
3,Northern Province,1.0,MID,Hostel / dorm,13,7,2175.21,reference-derived scenario
4,Uva Province,1.02,MID,Mid-range hotel / 3-star,2,1,13275.5,reference-derived scenario
5,Sabaragamuwa Province,1.0,MID,Homestay,7,4,4397.46,reference-derived scenario
6,Southern Province,1.2,MID,Homestay,3,2,4988.26,reference-derived scenario
7,Cultural Triangle / North Central,1.05,MID,Hostel / dorm,4,2,2973.38,reference-derived scenario
8,Uva Province,1.02,MID,Boutique guesthouse,6,3,24651.32,reference-derived scenario
9,Sabaragamuwa Province,1.0,LOW,Homestay,12,6,4600.03,reference-derived scenario
10,Western Province,1.18,MID,Serviced apartment,17,9,23568.19,reference-derived scenario
11,Eastern Province,1.02,LOW,Hostel / dorm,15,8,2162.75,reference-derived scenario
12,Eastern Province,1.02,HIGH,Luxury resort,11,6,88945.53,reference-derived scenario
13,Northern Province,1.0,LOW,Budget hotel / 1-2 star,13,7,8867.63,reference-derived scenario
14,Sabaragamuwa Province,1.0,HIGH,Luxury / 5-star hotel,5,3,65461.59,reference-derived scenario
15,Southern Province,1.2,MID,Hostel / dorm,6,3,2619.36,reference-derived scenario
16,Western Province,1.18,MID,Mid-range hotel / 3-star,1,1,18236.85,reference-derived scenario
17,Uva Province,1.02,MID,Mid-range villa,7,4,19850.05,reference-derived scenario
18,Cultural Triangle / North Central,1.05,LOW,Budget hotel / 1-2 star,11,6,9923.97,reference-derived scenario
19,Sabaragamuwa Province,1.0,LOW,Homestay,6,3,4210.63,reference-derived scenario
20,Cultural Triangle / North Central,1.05,MID,Budget hotel / 1-2 star,12,6,10079.04,reference-derived scenario
21,Western Province,1.18,MID,Mid-range villa,11,6,21212.57,reference-derived scenario
22,Southern Province,1.2,LOW,Budget hotel / 1-2 star,10,5,9270.79,reference-derived scenario
23,Northern Province,1.0,LOW,Homestay,11,6,5278.73,reference-derived scenario
24,Uva Province,1.02,LOW,Budget guesthouse,4,2,4881.4,reference-derived scenario
25,Southern Province,1.2,HIGH,Luxury / 5-star hotel,2,1,77870.46,reference-derived scenario
26,North Western Province,1.03,HIGH,Luxury resort,7,4,70533.2,reference-derived scenario
27,Northern Province,1.0,MID,Budget hotel / 1-2 star,2,1,8065.03,reference-derived scenario
28,Southern Province,1.2,LOW,Homestay,2,1,4634.54,reference-derived scenario
29,Cultural Triangle / North Central,1.05,MID,Mid-range villa,8,4,19220.58,reference-derived scenario
30,Western Province,1.18,LOW,Budget guesthouse,18,9,6872.79,reference-derived scenario
31,Cultural Triangle / North Central,1.05,LOW,Hostel / dorm,1,1,2848.38,reference-derived scenario
32,North Western Province,1.03,HIGH,Luxury resort,13,7,70247.8,reference-derived scenario
33,Uva Province,1.02,MID,Serviced apartment,7,4,19884.49,reference-derived scenario
34,Northern Province,1.0,MID,Budget guesthouse,3,2,4639.17,reference-derived scenario
35,Northern Province,1.0,LOW,Budget guesthouse,2,1,4706.2,reference-derived scenario
36,North Western Province,1.03,MID,Homestay,20,10,5296.7,reference-derived scenario
37,North Western Province,1.03,LOW,Hostel / dorm,1,1,2129.46,reference-derived scenario
38,Sabaragamuwa Province,1.0,MID,Mid-range villa,15,8,17225.01,reference-derived scenario
39,Eastern Province,1.02,LOW,Budget hotel / 1-2 star,14,7,7039.53,reference-derived scenario
40,Eastern Province,1.02,MID,Mid-range villa,3,2,22364.14,reference-derived scenario
41,Western Province,1.18,LOW,Budget hotel / 1-2 star,18,9,10914.1,reference-derived scenario
42,Northern Province,1.0,MID,Boutique guesthouse,5,3,25385.21,reference-derived scenario
43,Eastern Province,1.02,MID,Budget hotel / 1-2 star,14,7,6988.6,reference-derived scenario
44,Western Province,1.18,MID,Budget guesthouse,4,2,5626.19,reference-derived scenario
45,Northern Province,1.0,LOW,Homestay,14,7,3946.95,reference-derived scenario
46,Eastern Province,1.02,MID,Budget guesthouse,1,1,5767.24,reference-derived scenario
47,Southern Province,1.2,MID,Budget guesthouse,9,5,5760.86,reference-derived scenario
48,Sabaragamuwa Province,1.0,HIGH,Mid-range hotel / 3-star,6,3,18074.11,reference-derived scenario
49,Southern Province,1.2,LOW,Hostel / dorm,1,1,3224.17,reference-derived scenario
50,Cultural Triangle / North Central,1.05,HIGH,Private villa,6,3,66461.69,reference-derived scenario
51,Cultural Triangle / North Central,1.05,HIGH,Private villa,2,1,73000.32,reference-derived scenario
52,Cultural Triangle / North Central,1.05,LOW,Budget guesthouse,16,8,6253.05,reference-derived scenario
53,Cultural Triangle / North Central,1.05,LOW,Budget guesthouse,15,8,5706.06,reference-derived scenario
54,Western Province,1.18,HIGH,Luxury / 5-star hotel,10,5,91389.38,reference-derived scenario
55,Cultural Triangle / North Central,1.05,LOW,Budget guesthouse,16,8,6419.2,reference-derived scenario
56,Western Province,1.18,MID,Hostel / dorm,19,10,3083.33,reference-derived scenario
57,Western Province,1.18,MID,Serviced apartment,6,3,21384.05,reference-derived scenario
58,Southern Province,1.2,MID,Mid-range villa,15,8,23479.95,reference-derived scenario
