record_id,region,region_cost_index,budget_level,food_category,meal_price_lkr,daily_food_price_lkr,data_origin
1,Uva Province,1.02,HIGH,Luxury hotel dining,11180.95,33542.84,reference-derived scenario
2,Northern Province,1.0,LOW,Local rice & curry,776.96,2330.88,reference-derived scenario
3,Sabaragamuwa Province,1.0,HIGH,Premium restaurant,5754.68,17264.03,reference-derived scenario
4,Uva Province,1.02,MID,Hotel buffet / restaurant,3036.33,9108.99,reference-derived scenario
5,Southern Province,1.2,LOW,Street food,496.13,1488.38,reference-derived scenario
6,Sabaragamuwa Province,1.0,LOW,Street food,366.7,1100.11,reference-derived scenario
7,Upcountry / Central Highlands,1.08,MID,Tourist restaurant,3055.05,9165.14,reference-derived scenario
8,Western Province,1.18,LOW,Local cafe,1348.79,4046.37,reference-derived scenario
9,Upcountry / Central Highlands,1.08,HIGH,Premium restaurant,5140.72,15422.17,reference-derived scenario
10,Cultural Triangle / North Central,1.05,LOW,Local rice & curry,676.81,2030.42,reference-derived scenario
11,Northern Province,1.0,MID,Local restaurant,1476.34,4429.01,reference-derived scenario
12,Western Province,1.18,HIGH,Premium restaurant,4224.66,12673.99,reference-derived scenario
13,Upcountry / Central Highlands,1.08,LOW,Local rice & curry,835.42,2506.26,reference-derived scenario
14,Uva Province,1.02,LOW,Street food,317.47,952.41,reference-derived scenario
15,Eastern Province,1.02,MID,Local restaurant,992.91,2978.72,reference-derived scenario
16,Sabaragamuwa Province,1.0,LOW,Local cafe,933.3,2799.9,reference-derived scenario
17,Sabaragamuwa Province,1.0,LOW,Local cafe,704.77,2114.3,reference-derived scenario
18,Upcountry / Central Highlands,1.08,MID,Hotel buffet / restaurant,3698.16,11094.49,reference-derived scenario
19,Sabaragamuwa Province,1.0,MID,Local restaurant,1496.41,4489.22,reference-derived scenario
20,Upcountry / Central Highlands,1.08,MID,Hotel buffet / restaurant,3738.26,11214.78,reference-derived scenario
21,Southern Province,1.2,HIGH,Premium restaurant,6142.41,18427.23,reference-derived scenario
22,Cultural Triangle / North Central,1.05,LOW,Local cafe,982.33,2947.0,reference-derived scenario
23,Sabaragamuwa Province,1.0,LOW,Street food,355.97,1067.92,reference-derived scenario
24,Upcountry / Central Highlands,1.08,HIGH,Premium restaurant,5217.1,15651.31,reference-derived scenario
25,Southern Province,1.2,MID,Hotel buffet / restaurant,3999.34,11998.03,reference-derived scenario
26,Cultural Triangle / North Central,1.05,MID,Tourist restaurant,2846.78,8540.35,reference-derived scenario
27,Uva Province,1.02,MID,Local restaurant,1018.25,3054.75,reference-derived scenario
28,Sabaragamuwa Province,1.0,HIGH,High-end seafood,7309.8,21929.4,reference-derived scenario
29,Western Province,1.18,HIGH,Premium restaurant,6711.03,20133.09,reference-derived scenario
30,Eastern Province,1.02,HIGH,High-end seafood,6380.94,19142.82,reference-derived scenario
31,Uva Province,1.02,LOW,Street food,301.02,903.06,reference-derived scenario
32,Southern Province,1.2,HIGH,Premium restaurant,6285.54,18856.62,reference-derived scenario
33,Northern Province,1.0,MID,Tourist restaurant,1864.51,5593.54,reference-derived scenario
34,Uva Province,1.02,MID,Local restaurant,991.12,2973.37,reference-derived scenario
35,North Western Province,1.03,MID,Hotel buffet / restaurant,2823.02,8469.07,reference-derived scenario
36,Sabaragamuwa Province,1.0,LOW,Local cafe,978.08,2934.25,reference-derived scenario
37,Western Province,1.18,MID,Hotel buffet / restaurant,2829.96,8489.87,reference-derived scenario
