record_id,budget_level,travellers,transport_mode,route_distance_km,public_transport_coverage,estimated_transport_cost_lkr,data_origin
1,MID,12,Public transport + Van - Uber/PickMe,89.42,0.432,12362.44,reference-derived scenario
2,LOW,12,Public transport + Van - Uber/PickMe,943.04,0.653,86997.1,reference-derived scenario
3,LOW,19,Public transport + 2 Vans - Uber/PickMe,520.17,0.791,77046.25,reference-derived scenario
4,MID,11,Public transport + Van - Uber/PickMe,626.0,0.389,87743.27,reference-derived scenario
5,LOW,4,Public transport + Tuk/Taxi,66.26,0.891,2309.68,reference-derived scenario
6,LOW,17,Public transport + 2 Vans - Uber/PickMe,928.99,0.701,157942.33,reference-derived scenario
7,MID,19,Public transport + 2 Vans - Uber/PickMe,753.62,0.911,84590.7,reference-derived scenario
8,MID,6,Public transport + Van - Uber/PickMe,534.34,0.356,67204.24,reference-derived scenario
9,HIGH,20,Private driver + 2 Vans,535.36,0.0,185526.52,reference-derived scenario
10,MID,10,Public transport + Van - Uber/PickMe,837.61,0.81,61211.66,reference-derived scenario
11,MID,1,Van - Uber/PickMe,515.21,0.0,99013.11,reference-derived scenario
12,LOW,8,Public transport + Van - Uber/PickMe,708.54,0.463,86786.51,reference-derived scenario
13,LOW,1,Public transport + Tuk/Taxi,78.84,0.888,1293.2,reference-derived scenario
14,LOW,20,Public transport + 2 Vans - Uber/PickMe,739.8,0.849,106772.33,reference-derived scenario
15,LOW,16,Public transport + 2 Vans - Uber/PickMe,548.56,0.791,72557.47,reference-derived scenario
16,MID,16,Public transport + 2 Vans - Uber/PickMe,223.77,0.354,62571.48,reference-derived scenario
17,MID,13,Public transport + Van - Uber/PickMe,902.6,0.526,113971.16,reference-derived scenario
18,HIGH,10,Van - Uber/PickMe,580.89,0.0,109120.98,reference-derived scenario
19,MID,4,Public transport + Minivan - Uber/PickMe,224.61,0.934,6244.59,reference-derived scenario
20,LOW,6,Public transport + Minivan - Uber/PickMe,513.33,0.355,47232.76,reference-derived scenario
21,MID,11,Public transport + Van - Uber/PickMe,124.37,0.823,10671.96,reference-derived scenario
22,LOW,14,Public transport + 2 Minivans - Uber/PickMe,767.82,0.38,135604.44,reference-derived scenario
23,LOW,4,Public transport + Van - Uber/PickMe,312.0,0.599,25382.97,reference-derived scenario
24,HIGH,16,Private driver + 2 Vans,814.06,0.0,291391.12,reference-derived scenario
25,LOW,9,Public transport + Van - Uber/PickMe,560.06,0.763,39837.24,reference-derived scenario
26,MID,2,Van - Uber/PickMe,717.07,0.0,132059.22,reference-derived scenario
27,LOW,11,Public transport + Van - Uber/PickMe,30.86,0.483,4982.38,reference-derived scenario
28,HIGH,19,Public transport + 2 Vans - Uber/PickMe,739.89,0.73,123296.67,reference-derived scenario
29,MID,10,Public transport + Van - Uber/PickMe,445.67,0.441,56986.62,reference-derived scenario
30,MID,10,Public transport + Van - Uber/PickMe,928.6,0.625,87075.76,reference-derived scenario
31,LOW,4,Public transport + Minivan - Uber/PickMe,22.33,0.543,2408.22,reference-derived scenario
